项目,轮次,时间,运动员1,运动员2,得分1,得分2
Women's Singles , 64, 12:00 - 27/1/2012 , DING Ning , DUBKOVA Elena,4, 0
Women's Singles , 64, 12:00 - 27/1/2012 , KIM Minhee (YOB=1991) , FAJMUT Manca,4, 0
Women's Singles , 64, 12:00 - 27/1/2012 , MONTEIRO DODEAN Daniela , MOLNAR Cornelia,4, 2
Women's Singles , 64, 12:00 - 27/1/2012 , LI Jiao , RAMIREZ Sara,4, 1
Women's Singles , 64, 12:00 - 27/1/2012 , GANINA Svetlana , LOVAS Petra,4, 1
Women's Singles , 64, 12:00 - 27/1/2012 , TOTH Krisztina , EKHOLM Matilda,1, 4
Women's Singles , 64, 12:00 - 27/1/2012 , HWANG Jina , ISHIKAWA Kasumi,2, 4
Women's Singles , 64, 12:45 - 27/1/2012 , HIRANO Sayaka , TIAN Yuan,4, 0
Women's Singles , 64, 12:45 - 27/1/2012 , MADARASZ Dora , HU Melek,2, 4
Women's Singles , 64, 12:45 - 27/1/2012 , MORIZONO Misaki , FEHER Gabriela,4, 1
Women's Singles , 64, 12:45 - 27/1/2012 , PARK Miyoung , POLCANOVA Sofia ^,4, 1
Women's Singles , 64, 12:45 - 27/1/2012 , TIKHOMIROVA Anna , SILBEREISEN Kristin,3, 4
Women's Singles , 64, 12:45 - 27/1/2012 , KANG Misoon , BARTHEL Zhenqi,1, 4
Women's Singles , 64, 13:30 - 27/1/2012 , LIU Shiwen , KASABOVA Asya,4, 0
Women's Singles , 64, 13:30 - 27/1/2012 , SOLJA Amelie ^ , SHEN Yanfei,3, 4
Women's Singles , 64, 13:30 - 27/1/2012 , PESOTSKA Margaryta , NONAKA Yuki,1, 4
Women's Singles , 64, 13:30 - 27/1/2012 , LI Jie , JO Yujin,2, 4
Women's Singles , 64, 13:30 - 27/1/2012 , GRUNDISCH Carole , POTA Georgina,2, 4
Women's Singles , 64, 13:30 - 27/1/2012 , CHENG I-Ching , TAN Wenling,4, 1
Women's Singles , 64, 13:30 - 27/1/2012 , PENKAVOVA Katerina , FUKUHARA Ai,1, 4
Women's Singles , 64, 14:15 - 27/1/2012 , WU Yang , TODOROVIC Andrea,4, 0
Women's Singles , 64, 14:15 - 27/1/2012 , HUANG Yi-Hua , LI Qiangbing,4, 0
Women's Singles , 64, 14:15 - 27/1/2012 , MIKHAILOVA Polina , JEON Jihee ^,2, 4
Women's Singles , 64, 14:15 - 27/1/2012 , PAVLOVICH Viktoria , KERTAI Rita,4, 0
Women's Singles , 64, 14:15 - 27/1/2012 , VACENOVSKA Iveta , XIAN Yifang,4, 1
Women's Singles , 32, 18:00 - 27/1/2012 , DING Ning , KIM Minhee (YOB=1991),4, 0
Women's Singles , 32, 18:00 - 27/1/2012 , MONTEIRO DODEAN Daniela , LEE Eunhee,3, 4
Women's Singles , 32, 18:00 - 27/1/2012 , LI Jiao , GANINA Svetlana,4, 0
Women's Singles , 32, 18:00 - 27/1/2012 , EKHOLM Matilda , ISHIKAWA Kasumi,1, 4
Women's Singles , 32, 18:00 - 27/1/2012 , HIRANO Sayaka , HU Melek,4, 0
Women's Singles , 32, 18:00 - 27/1/2012 , PARK Miyoung , SILBEREISEN Kristin,4, 0
Women's Singles , 32, 18:45 - 27/1/2012 , LIU Shiwen , SHEN Yanfei,4, 0
Women's Singles , 32, 18:45 - 27/1/2012 , NONAKA Yuki , FAN Ying,1, 4
Women's Singles , 32, 18:45 - 27/1/2012 , JO Yujin , POTA Georgina,2, 4
Women's Singles , 32, 18:45 - 27/1/2012 , CHENG I-Ching , FUKUHARA Ai,1, 4
Women's Singles , 32, 18:45 - 27/1/2012 , WU Yang , SEO Hyowon,4, 1
Women's Singles , 32, 18:45 - 27/1/2012 , HUANG Yi-Hua , JEON Jihee ^,2, 4
Women's Singles , 32, 18:45 - 27/1/2012 , PAVLOVICH Viktoria , SAMARA Elizabeta,2, 4
Women's Singles , 32, 18:45 - 27/1/2012 , VACENOVSKA Iveta , LIU Jia,4, 3
Women's Singles , 16, 12:30 - 28/1/2012 , DING Ning , LEE Eunhee,4, 1
Women's Singles , 16, 12:30 - 28/1/2012 , LI Jiao , ISHIKAWA Kasumi,1, 4
Women's Singles , 16, 12:30 - 28/1/2012 , HIRANO Sayaka , WU Jiaduo,4, 3
Women's Singles , 16, 12:30 - 28/1/2012 , PARK Miyoung , GUO Yan (1982),1, 4
Women's Singles , 16, 13:15 - 28/1/2012 , LIU Shiwen , FAN Ying,4, 0
Women's Singles , 16, 13:15 - 28/1/2012 , POTA Georgina , FUKUHARA Ai,1, 4
Women's Singles , 16, 13:15 - 28/1/2012 , WU Yang , JEON Jihee ^,4, 1
Women's Singles , 16, 13:15 - 28/1/2012 , SAMARA Elizabeta , VACENOVSKA Iveta,4, 2
Women's Singles ,Quarter Final, 18:00 - 28/1/2012 , DING Ning , ISHIKAWA Kasumi,4, 1
Women's Singles ,Quarter Final, 18:45 - 28/1/2012 , LIU Shiwen , FUKUHARA Ai,4, 1
Women's Singles ,Quarter Final, 18:45 - 28/1/2012 , WU Yang , SAMARA Elizabeta,4, 1
Women's Singles ,Semi Final, 10:30 - 29/1/2012 , DING Ning , GUO Yan (1982),4, 1
Women's Singles ,Semi Final, 11:15 - 29/1/2012 , LIU Shiwen , WU Yang,4, 0
Women's Singles ,Final, 16:00 - 29/1/2012 , DING Ning , LIU Shiwen,4, 2
