é¡¹ç®,è½®æ¬¡,æ¶é´,è¿å¨å1,è¿å¨å2,å¾å1,å¾å2
Men's Singles , 32, 19:30 - 19/1/2012 , SUCH Bartosz , ZUBCIC Tomislav,2, 4
Men's Singles , 32, 19:30 - 19/1/2012 , GAUZY Simon , MONTEIRO Joao,4, 3
Men's Singles , 32, 19:30 - 19/1/2012 , ZWICKL Daniel , CHEN Qi,1, 4
Men's Singles , 32, 19:30 - 19/1/2012 , MA Lin , ACHANTA Sharath Kamal,4, 1
Men's Singles , 32, 19:30 - 19/1/2012 , ZHAN Jian ^ , LEE Jungwoo,4, 3
Men's Singles , 32, 19:30 - 19/1/2012 , LINDNER Adam , BAGGALEY Andrew,3, 4
Men's Singles , 32, 20:15 - 19/1/2012 , ELOI Damien , GIONIS Panagiotis,3, 4
Men's Singles , 32, 20:15 - 19/1/2012 , LEUNG Chu Yan , CRISAN Adrian,2, 4
Men's Singles , 32, 20:15 - 19/1/2012 , CHEN Weixing , SUSS Christian,4, 1
Men's Singles , 32, 20:15 - 19/1/2012 , KOU Lei , LORENTZ Romain,4, 1
Men's Singles , 32, 20:15 - 19/1/2012 , JOO Saehyuk , LEGOUT Christophe,4, 1
Men's Singles , 32, 20:15 - 19/1/2012 , STEGER Bastian , YANG Zi,4, 1
Men's Singles , 16, 14:30 - 20/1/2012 , MA Long , ZUBCIC Tomislav,4, 1
Men's Singles , 16, 14:30 - 20/1/2012 , GAUZY Simon , CHEN Qi,1, 4
Men's Singles , 16, 14:30 - 20/1/2012 , MA Lin , ZHAN Jian ^,4, 1
Men's Singles , 16, 15:15 - 20/1/2012 , CHEN Weixing , KOU Lei,4, 0
Men's Singles , 16, 15:15 - 20/1/2012 , JOO Saehyuk , BOBOCICA Mihai,4, 0
Men's Singles , 16, 15:15 - 20/1/2012 , STEGER Bastian , ZHANG Jike,1, 4
Men's Singles ,Quarter Final, 19:30 - 20/1/2012 , MA Long , CHEN Qi,4, 3
Men's Singles ,Quarter Final, 20:15 - 20/1/2012 , CRISAN Adrian , CHEN Weixing,4, 2
Men's Singles ,Quarter Final, 20:15 - 20/1/2012 , JOO Saehyuk , ZHANG Jike,4, 0
Men's Singles ,Semi Final, 12:00 - 21/1/2012 , MA Long , XU Xin,4, 3
Men's Singles ,Semi Final, 12:45 - 21/1/2012 , CRISAN Adrian , JOO Saehyuk,2, 4
Men's Singles ,Final, 16:45 - 21/1/2012 , MA Long , JOO Saehyuk,4, 3
Women's Singles , 64, 11:00 - 19/1/2012 , DING Ning , MOLNAR Cornelia,4, 0
Women's Singles , 64, 11:00 - 19/1/2012 , SOLJA Amelie ^ , KANG Misoon,4, 1
Women's Singles , 64, 11:00 - 19/1/2012 , ERDELJI Anamaria , GAPONOVA Ganna,2, 4
Women's Singles , 64, 11:00 - 19/1/2012 , PARTYKA Natalia , SAMARA Elizabeta,4, 0
Women's Singles , 64, 11:00 - 19/1/2012 , LI Qian , TRIFONOVA Polina ^,4, 0
Women's Singles , 64, 11:00 - 19/1/2012 , KIM Minhee (YOB=1991) , LEE I-Chen,1, 4
Women's Singles , 64, 11:00 - 19/1/2012 , HU Melek , KIM Mingyung,4, 1
Women's Singles , 64, 11:45 - 19/1/2012 , FAN Ying , MATELOVA Hana,4, 0
Women's Singles , 64, 11:45 - 19/1/2012 , BOROS Tamara , LI Xue ^,4, 1
Women's Singles , 64, 11:45 - 19/1/2012 , CHENG I-Ching , WINTER Sabine,4, 0
Women's Singles , 64, 11:45 - 19/1/2012 , MONTEIRO DODEAN Daniela , BALAZOVA Barbora,4, 0
Women's Singles , 64, 11:45 - 19/1/2012 , SKOV Mie , TIMINA Elena,4, 1
Women's Singles , 64, 11:45 - 19/1/2012 , SCHALL Elke , SZCZERKOWSKA Magdalena,2, 4
Women's Singles , 64, 12:30 - 19/1/2012 , LIU Shiwen , CECHOVA Dana,4, 0
Women's Singles , 64, 12:30 - 19/1/2012 , KUCEROVA Aneta , LIU Jia,3, 4
Women's Singles , 64, 12:30 - 19/1/2012 , BARTHEL Zhenqi , LI Bin,4, 0
Women's Singles , 64, 12:30 - 19/1/2012 , GRZYBOWSKA Katarzyna , JEON Jihee ^,1, 4
Women's Singles , 64, 12:30 - 19/1/2012 , SEO Hyowon , KERTAI Rita,4, 1
Women's Singles , 64, 12:30 - 19/1/2012 , CREEMERS Linda , STRBIKOVA Renata,4, 2
Women's Singles , 64, 12:30 - 19/1/2012 , POTA Georgina , PENKAVOVA Katerina,4, 1
Women's Singles , 64, 12:30 - 19/1/2012 , MIKHAILOVA Polina , SUN Beibei,3, 4
Women's Singles , 64, 13:15 - 19/1/2012 , LI Jiawei , ODOROVA Eva,4, 2
Women's Singles , 64, 13:15 - 19/1/2012 , XIAN Yifang , LI Qiangbing,3, 4
Women's Singles , 64, 13:15 - 19/1/2012 , EKHOLM Matilda , DRINKHALL Joanna,4, 2
Women's Singles , 64, 13:15 - 19/1/2012 , HUANG Yi-Hua , SIBLEY Kelly,4, 0
Women's Singles , 64, 13:15 - 19/1/2012 , DUBKOVA Elena , ZHU Fang,4, 3
Women's Singles , 64, 13:15 - 19/1/2012 , LOVAS Petra , RAMIREZ Sara,4, 1
Women's Singles , 64, 13:15 - 19/1/2012 , EERLAND Britt , LI Xiaoxia,1, 4
Women's Singles , 32, 18:00 - 19/1/2012 , DING Ning , SOLJA Amelie ^,4, 0
Women's Singles , 32, 18:00 - 19/1/2012 , GAPONOVA Ganna , PARTYKA Natalia,1, 4
Women's Singles , 32, 18:00 - 19/1/2012 , LI Qian , LEE I-Chen,4, 0
Women's Singles , 32, 18:00 - 19/1/2012 , FAN Ying , BOROS Tamara,4, 0
Women's Singles , 32, 18:00 - 19/1/2012 , CHENG I-Ching , PARK Miyoung,2, 4
Women's Singles , 32, 18:00 - 19/1/2012 , MONTEIRO DODEAN Daniela , SKOV Mie,4, 3
Women's Singles , 32, 18:00 - 19/1/2012 , SZCZERKOWSKA Magdalena , GUO Yan (1982),1, 4
Women's Singles , 32, 18:45 - 19/1/2012 , LIU Shiwen , LIU Jia,4, 1
Women's Singles , 32, 18:45 - 19/1/2012 , SEO Hyowon , CREEMERS Linda,4, 2
Women's Singles , 32, 18:45 - 19/1/2012 , POTA Georgina , SUN Beibei,4, 3
Women's Singles , 32, 18:45 - 19/1/2012 , LI Jiawei , LI Qiangbing,4, 3
Women's Singles , 32, 18:45 - 19/1/2012 , EKHOLM Matilda , LEE Eunhee,4, 2
Women's Singles , 32, 18:45 - 19/1/2012 , HUANG Yi-Hua , DUBKOVA Elena,4, 2
Women's Singles , 16, 13:00 - 20/1/2012 , DING Ning , PARTYKA Natalia,4, 0
Women's Singles , 16, 13:00 - 20/1/2012 , LI Qian , WU Yang,2, 4
Women's Singles , 16, 13:00 - 20/1/2012 , FAN Ying , PARK Miyoung,4, 0
Women's Singles , 16, 13:45 - 20/1/2012 , LIU Shiwen , BARTHEL Zhenqi,4, 0
Women's Singles , 16, 13:45 - 20/1/2012 , SEO Hyowon , POTA Georgina,4, 1
Women's Singles , 16, 13:45 - 20/1/2012 , LI Jiawei , EKHOLM Matilda,4, 3
Women's Singles ,Quarter Final, 18:00 - 20/1/2012 , DING Ning , WU Yang,1, 4
Women's Singles ,Quarter Final, 18:45 - 20/1/2012 , LIU Shiwen , SEO Hyowon,4, 1
Women's Singles ,Semi Final, 11:15 - 21/1/2012 , LIU Shiwen , LI Xiaoxia,4, 1
Women's Singles ,Final, 16:00 - 21/1/2012 , GUO Yan (1982) , LIU Shiwen,2, 4
Men's Singles , 64, 14:00 - 19/1/2012 , MA Long , JEAN Lauric,4, 0
Men's Singles , 64, 14:00 - 19/1/2012 , HUANG Sheng-Sheng , KREANGA Kalinikos,2, 4
Men's Singles , 64, 14:00 - 19/1/2012 , TAN Ruiwu , SUCH Bartosz,3, 4
Men's Singles , 64, 14:00 - 19/1/2012 , ZUBCIC Tomislav , LI Hu ^,4, 2
Men's Singles , 64, 14:00 - 19/1/2012 , KIM Minseok , GAUZY Simon,1, 4
Men's Singles , 64, 14:00 - 19/1/2012 , HABESOHN Dominik , MONTEIRO Joao,2, 4
Men's Singles , 64, 14:00 - 19/1/2012 , ZWICKL Daniel , MATSUMOTO Cazuo,4, 1
Men's Singles , 64, 14:00 - 19/1/2012 , CANTERO Jesus , CHEN Qi,1, 4
Men's Singles , 64, 14:45 - 19/1/2012 , MA Lin , PATTANTYUS Adam,4, 0
Men's Singles , 64, 14:45 - 19/1/2012 , DRINKHALL Paul , ACHANTA Sharath Kamal,3, 4
Men's Singles , 64, 14:45 - 19/1/2012 , ZHAN Jian ^ , IONESCU Ovidiu,4, 1
Men's Singles , 64, 14:45 - 19/1/2012 , WANG Eugene ^ , LEE Jungwoo,1, 4
Men's Singles , 64, 14:45 - 19/1/2012 , SEO Hyundeok , LINDNER Adam,2, 4
Men's Singles , 64, 14:45 - 19/1/2012 , BAGGALEY Andrew , LEBESSON Emmanuel,4, 1
Men's Singles , 64, 14:45 - 19/1/2012 , SAIVE Jean-Michel , FEGERL Stefan,4, 1
Men's Singles , 64, 15:30 - 19/1/2012 , ELOI Damien , FLORITZ Philipp,4, 1
Men's Singles , 64, 15:30 - 19/1/2012 , HABESOHN Daniel , GIONIS Panagiotis,1, 4
Men's Singles , 64, 15:30 - 19/1/2012 , LEUNG Chu Yan , JEONG Sangeun,4, 2
Men's Singles , 64, 15:30 - 19/1/2012 , CHEN Weixing , LASAN Sas,4, 1
Men's Singles , 64, 15:30 - 19/1/2012 , FLORAS Robert , SUSS Christian,2, 4
Men's Singles , 64, 15:30 - 19/1/2012 , PROKOPCOV Dmitrij , KOU Lei,2, 4
Men's Singles , 64, 15:30 - 19/1/2012 , LORENTZ Romain , GAO Ning,4, 1
Men's Singles , 64, 16:15 - 19/1/2012 , JOO Saehyuk , GORAK Daniel,4, 1
Men's Singles , 64, 16:15 - 19/1/2012 , LEGOUT Christophe , JIANG Tianyi,4, 1
Men's Singles , 64, 16:15 - 19/1/2012 , KOSIBA Daniel , PETIOT Jeremy,4, 3
Men's Singles , 64, 16:15 - 19/1/2012 , BOBOCICA Mihai , LEE Sangsu,4, 0
Men's Singles , 64, 16:15 - 19/1/2012 , STEGER Bastian , SVENSSON Robert,4, 0
Men's Singles , 64, 16:15 - 19/1/2012 , LI Ahmet ^ , YANG Zi,2, 4
Men's Singles , 64, 16:15 - 19/1/2012 , KEINATH Thomas , WANG Zengyi,2, 4
Men's Singles , 32, 19:30 - 19/1/2012 , MA Long , KREANGA Kalinikos,4, 0
Men's Singles , 32, 19:30 - 19/1/2012 , SUCH Bartosz , ZUBCIC Tomislav,2, 4
Men's Singles , 32, 19:30 - 19/1/2012 , GAUZY Simon , MONTEIRO Joao,4, 3
Men's Singles , 32, 19:30 - 19/1/2012 , ZWICKL Daniel , CHEN Qi,1, 4
Men's Singles , 32, 19:30 - 19/1/2012 , MA Lin , ACHANTA Sharath Kamal,4, 1
Men's Singles , 32, 19:30 - 19/1/2012 , ZHAN Jian ^ , LEE Jungwoo,4, 3
Men's Singles , 32, 19:30 - 19/1/2012 , LINDNER Adam , BAGGALEY Andrew,3, 4
Men's Singles , 32, 20:15 - 19/1/2012 , ELOI Damien , GIONIS Panagiotis,3, 4
Men's Singles , 32, 20:15 - 19/1/2012 , LEUNG Chu Yan , CRISAN Adrian,2, 4
Men's Singles , 32, 20:15 - 19/1/2012 , CHEN Weixing , SUSS Christian,4, 1
Men's Singles , 32, 20:15 - 19/1/2012 , KOU Lei , LORENTZ Romain,4, 1
Men's Singles , 32, 20:15 - 19/1/2012 , JOO Saehyuk , LEGOUT Christophe,4, 1
Men's Singles , 32, 20:15 - 19/1/2012 , STEGER Bastian , YANG Zi,4, 1
Men's Singles , 16, 14:30 - 20/1/2012 , MA Long , ZUBCIC Tomislav,4, 1
Men's Singles , 16, 14:30 - 20/1/2012 , GAUZY Simon , CHEN Qi,1, 4
Men's Singles , 16, 14:30 - 20/1/2012 , MA Lin , ZHAN Jian ^,4, 1
Men's Singles , 16, 15:15 - 20/1/2012 , CHEN Weixing , KOU Lei,4, 0
Men's Singles , 16, 15:15 - 20/1/2012 , JOO Saehyuk , BOBOCICA Mihai,4, 0
Men's Singles , 16, 15:15 - 20/1/2012 , STEGER Bastian , ZHANG Jike,1, 4
Men's Singles ,Quarter Final, 19:30 - 20/1/2012 , MA Long , CHEN Qi,4, 3
Men's Singles ,Quarter Final, 20:15 - 20/1/2012 , CRISAN Adrian , CHEN Weixing,4, 2
Men's Singles ,Quarter Final, 20:15 - 20/1/2012 , JOO Saehyuk , ZHANG Jike,4, 0
Men's Singles ,Semi Final, 12:00 - 21/1/2012 , MA Long , XU Xin,4, 3
Men's Singles ,Semi Final, 12:45 - 21/1/2012 , CRISAN Adrian , JOO Saehyuk,2, 4
Men's Singles ,Final, 16:45 - 21/1/2012 , MA Long , JOO Saehyuk,4, 3
Women's Singles , 64, 11:00 - 19/1/2012 , DING Ning , MOLNAR Cornelia,4, 0
Women's Singles , 64, 11:00 - 19/1/2012 , SOLJA Amelie ^ , KANG Misoon,4, 1
Women's Singles , 64, 11:00 - 19/1/2012 , ERDELJI Anamaria , GAPONOVA Ganna,2, 4
Women's Singles , 64, 11:00 - 19/1/2012 , PARTYKA Natalia , SAMARA Elizabeta,4, 0
Women's Singles , 64, 11:00 - 19/1/2012 , LI Qian , TRIFONOVA Polina ^,4, 0
Women's Singles , 64, 11:00 - 19/1/2012 , KIM Minhee (YOB=1991) , LEE I-Chen,1, 4
Women's Singles , 64, 11:00 - 19/1/2012 , HU Melek , KIM Mingyung,4, 1
Women's Singles , 64, 11:45 - 19/1/2012 , FAN Ying , MATELOVA Hana,4, 0
Women's Singles , 64, 11:45 - 19/1/2012 , BOROS Tamara , LI Xue ^,4, 1
Women's Singles , 64, 11:45 - 19/1/2012 , CHENG I-Ching , WINTER Sabine,4, 0
Women's Singles , 64, 11:45 - 19/1/2012 , MONTEIRO DODEAN Daniela , BALAZOVA Barbora,4, 0
Women's Singles , 64, 11:45 - 19/1/2012 , SKOV Mie , TIMINA Elena,4, 1
Women's Singles , 64, 11:45 - 19/1/2012 , SCHALL Elke , SZCZERKOWSKA Magdalena,2, 4
Women's Singles , 64, 12:30 - 19/1/2012 , LIU Shiwen , CECHOVA Dana,4, 0
Women's Singles , 64, 12:30 - 19/1/2012 , KUCEROVA Aneta , LIU Jia,3, 4
Women's Singles , 64, 12:30 - 19/1/2012 , BARTHEL Zhenqi , LI Bin,4, 0
Women's Singles , 64, 12:30 - 19/1/2012 , GRZYBOWSKA Katarzyna , JEON Jihee ^,1, 4
Women's Singles , 64, 12:30 - 19/1/2012 , SEO Hyowon , KERTAI Rita,4, 1
Women's Singles , 64, 12:30 - 19/1/2012 , CREEMERS Linda , STRBIKOVA Renata,4, 2
Women's Singles , 64, 12:30 - 19/1/2012 , POTA Georgina , PENKAVOVA Katerina,4, 1
Women's Singles , 64, 12:30 - 19/1/2012 , MIKHAILOVA Polina , SUN Beibei,3, 4
Women's Singles , 64, 13:15 - 19/1/2012 , LI Jiawei , ODOROVA Eva,4, 2
Women's Singles , 64, 13:15 - 19/1/2012 , XIAN Yifang , LI Qiangbing,3, 4
Women's Singles , 64, 13:15 - 19/1/2012 , EKHOLM Matilda , DRINKHALL Joanna,4, 2
Women's Singles , 64, 13:15 - 19/1/2012 , HUANG Yi-Hua , SIBLEY Kelly,4, 0
Women's Singles , 64, 13:15 - 19/1/2012 , DUBKOVA Elena , ZHU Fang,4, 3
Women's Singles , 64, 13:15 - 19/1/2012 , LOVAS Petra , RAMIREZ Sara,4, 1
Women's Singles , 64, 13:15 - 19/1/2012 , EERLAND Britt , LI Xiaoxia,1, 4
Women's Singles , 32, 18:00 - 19/1/2012 , DING Ning , SOLJA Amelie ^,4, 0
Women's Singles , 32, 18:00 - 19/1/2012 , GAPONOVA Ganna , PARTYKA Natalia,1, 4
Women's Singles , 32, 18:00 - 19/1/2012 , LI Qian , LEE I-Chen,4, 0
Women's Singles , 32, 18:00 - 19/1/2012 , FAN Ying , BOROS Tamara,4, 0
Women's Singles , 32, 18:00 - 19/1/2012 , CHENG I-Ching , PARK Miyoung,2, 4
Women's Singles , 32, 18:00 - 19/1/2012 , MONTEIRO DODEAN Daniela , SKOV Mie,4, 3
Women's Singles , 32, 18:00 - 19/1/2012 , SZCZERKOWSKA Magdalena , GUO Yan (1982),1, 4
Women's Singles , 32, 18:45 - 19/1/2012 , LIU Shiwen , LIU Jia,4, 1
Women's Singles , 32, 18:45 - 19/1/2012 , SEO Hyowon , CREEMERS Linda,4, 2
Women's Singles , 32, 18:45 - 19/1/2012 , POTA Georgina , SUN Beibei,4, 3
Women's Singles , 32, 18:45 - 19/1/2012 , LI Jiawei , LI Qiangbing,4, 3
Women's Singles , 32, 18:45 - 19/1/2012 , EKHOLM Matilda , LEE Eunhee,4, 2
Women's Singles , 32, 18:45 - 19/1/2012 , HUANG Yi-Hua , DUBKOVA Elena,4, 2
Women's Singles , 16, 13:00 - 20/1/2012 , DING Ning , PARTYKA Natalia,4, 0
Women's Singles , 16, 13:00 - 20/1/2012 , LI Qian , WU Yang,2, 4
Women's Singles , 16, 13:00 - 20/1/2012 , FAN Ying , PARK Miyoung,4, 0
Women's Singles , 16, 13:45 - 20/1/2012 , LIU Shiwen , BARTHEL Zhenqi,4, 0
Women's Singles , 16, 13:45 - 20/1/2012 , SEO Hyowon , POTA Georgina,4, 1
Women's Singles , 16, 13:45 - 20/1/2012 , LI Jiawei , EKHOLM Matilda,4, 3
Women's Singles ,Quarter Final, 18:00 - 20/1/2012 , DING Ning , WU Yang,1, 4
Women's Singles ,Quarter Final, 18:45 - 20/1/2012 , LIU Shiwen , SEO Hyowon,4, 1
Women's Singles ,Semi Final, 11:15 - 21/1/2012 , LIU Shiwen , LI Xiaoxia,4, 1
Women's Singles ,Final, 16:00 - 21/1/2012 , GUO Yan (1982) , LIU Shiwen,2, 4
