项目,轮次,时间,运动员1,运动员2,得分1,得分2
Men's Singles , 64, 15:00 - 27/1/2012 , MA Long , PAIKOV Mikhail,4, 0
Men's Singles , 64, 15:00 - 27/1/2012 , KEINATH Thomas , WOSIK Torben,4, 2
Men's Singles , 64, 15:00 - 27/1/2012 , TSUBOI Gustavo , TOKIC Bojan,2, 4
Men's Singles , 64, 15:00 - 27/1/2012 , SUSS Christian , HUANG Sheng-Sheng,2, 4
Men's Singles , 64, 15:00 - 27/1/2012 , HIELSCHER Lars , TAN Ruiwu,1, 4
Men's Singles , 64, 15:00 - 27/1/2012 , YANG Zi , ZHMUDENKO Yaroslav,4, 2
Men's Singles , 64, 15:00 - 27/1/2012 , WANG Eugene ^ , GAO Ning,4, 2
Men's Singles , 64, 15:45 - 27/1/2012 , MA Lin , PATTANTYUS Adam,4, 0
Men's Singles , 64, 15:45 - 27/1/2012 , STERNBERG Kasper , SHIBAEV Alexander,3, 4
Men's Singles , 64, 15:45 - 27/1/2012 , GERELL Par , VRABLIK Jiri,4, 0
Men's Singles , 64, 15:45 - 27/1/2012 , GAVLAS Antonin , SEO Hyundeok,1, 4
Men's Singles , 64, 15:45 - 27/1/2012 , LEE Jungwoo , GORAK Daniel,4, 3
Men's Singles , 64, 15:45 - 27/1/2012 , HABESOHN Daniel , CHEN Chien-An,2, 4
Men's Singles , 64, 15:45 - 27/1/2012 , JIANG Tianyi , GROTH Jonathan,4, 0
Men's Singles , 64, 16:30 - 27/1/2012 , XU Xin , DRINKHALL Paul,4, 1
Men's Singles , 64, 16:30 - 27/1/2012 , LI Ahmet ^ , LEGOUT Christophe,4, 2
Men's Singles , 64, 16:30 - 27/1/2012 , LASAN Sas , FILUS Ruwen,1, 4
Men's Singles , 64, 16:30 - 27/1/2012 , FRANZISKA Patrick , APOLONIA Tiago,4, 3
Men's Singles , 64, 16:30 - 27/1/2012 , BAUM Patrick , WANG Zengyi,4, 2
Men's Singles , 64, 16:30 - 27/1/2012 , VLASOV Grigory , LEBESSON Emmanuel,3, 4
Men's Singles , 64, 16:30 - 27/1/2012 , MACHADO Carlos , FENG Xiaoquan,4, 1
Men's Singles , 64, 17:15 - 27/1/2012 , STEGER Bastian , TOSIC Roko,3, 4
Men's Singles , 64, 17:15 - 27/1/2012 , SUCH Bartosz , RUBTSOV Igor,3, 4
Men's Singles , 64, 17:15 - 27/1/2012 , SVENSSON Robert , STORF Martin,4, 1
Men's Singles , 64, 17:15 - 27/1/2012 , CHEN Weixing , KUZMIN Fedor,4, 0
Men's Singles , 64, 17:15 - 27/1/2012 , MATSUMOTO Cazuo , ZHANG Jike,1, 4
Men's Singles , 32, 19:30 - 27/1/2012 , MA Long , HE Zhiwen,4, 1
Men's Singles , 32, 19:30 - 27/1/2012 , KEINATH Thomas , TOKIC Bojan,2, 4
Men's Singles , 32, 19:30 - 27/1/2012 , HUANG Sheng-Sheng , TAN Ruiwu,1, 4
Men's Singles , 32, 19:30 - 27/1/2012 , YANG Zi , WANG Eugene ^,3, 4
Men's Singles , 32, 19:30 - 27/1/2012 , MA Lin , SHIBAEV Alexander,4, 1
Men's Singles , 32, 19:30 - 27/1/2012 , GERELL Par , SEO Hyundeok,3, 4
Men's Singles , 32, 19:30 - 27/1/2012 , LEE Jungwoo , CHEN Chien-An,4, 0
Men's Singles , 32, 19:30 - 27/1/2012 , JIANG Tianyi , WANG Hao,2, 4
Men's Singles , 32, 20:15 - 27/1/2012 , XU Xin , LI Ahmet ^,4, 0
Men's Singles , 32, 20:15 - 27/1/2012 , FILUS Ruwen , FRANZISKA Patrick,3, 4
Men's Singles , 32, 20:15 - 27/1/2012 , BAUM Patrick , LEBESSON Emmanuel,4, 2
Men's Singles , 32, 20:15 - 27/1/2012 , MACHADO Carlos , JOO Saehyuk,1, 4
Men's Singles , 32, 20:15 - 27/1/2012 , TOSIC Roko , RUBTSOV Igor,4, 2
Men's Singles , 32, 20:15 - 27/1/2012 , GAUZY Simon , ZHANG Jike,2, 4
Men's Singles , 16, 14:00 - 28/1/2012 , MA Long , TOKIC Bojan,4, 1
Men's Singles , 16, 14:00 - 28/1/2012 , MA Lin , SEO Hyundeok,4, 0
Men's Singles , 16, 14:45 - 28/1/2012 , XU Xin , FRANZISKA Patrick,4, 2
Men's Singles , 16, 14:45 - 28/1/2012 , BAUM Patrick , JOO Saehyuk,2, 4
Men's Singles , 16, 14:45 - 28/1/2012 , TOSIC Roko , BOBOCICA Mihai,2, 4
Men's Singles , 16, 14:45 - 28/1/2012 , YAN An , ZHANG Jike,1, 4
Men's Singles ,Quarter Final, 19:30 - 28/1/2012 , MA Long , WANG Eugene ^,4, 0
Men's Singles ,Quarter Final, 19:30 - 28/1/2012 , MA Lin , WANG Hao,4, 1
Men's Singles ,Quarter Final, 20:15 - 28/1/2012 , XU Xin , JOO Saehyuk,4, 1
Men's Singles ,Semi Final, 12:00 - 29/1/2012 , MA Long , MA Lin,4, 1
Men's Singles ,Final, 16:45 - 29/1/2012 , MA Long , ZHANG Jike,3, 4
